frequency_hz,magnitude_db,weight
8.102056,-9.946667,1.0
8.780773,-9.626667,1.0
9.516348,-9.333333,1.0
10.313542,-9.386667,1.0
11.177518,-9.066667,1.0
12.11387,-8.746667,1.0
13.128661,-8.426667,1.0
14.228463,-8.16,1.0
15.420395,-7.92,1.0
16.712178,-7.706667,1.0
18.112174,-7.52,1.0
19.62945,-7.36,1.0
21.273829,-7.226667,1.0
23.055959,-7.093333,1.0
24.98738,-6.96,1.0
27.080599,-6.88,1.0
29.349169,-6.773333,1.0
31.807779,-6.693333,1.0
34.472349,-6.613333,1.0
37.360133,-6.56,1.0
40.489829,-6.506667,1.0
43.881704,-6.453333,1.0
47.557719,-6.426667,1.0
51.541678,-6.4,1.0
55.859378,-6.373333,1.0
60.538775,-6.346667,1.0
65.61017,-6.346667,1.0
71.106402,-6.32,1.0
77.063058,-6.32,1.0
83.518709,-6.32,1.0
90.515157,-6.32,1.0
98.097705,-6.346667,1.0
106.31545,-6.346667,1.0
115.221605,-6.346667,1.0
124.873837,-6.373333,1.0
135.334646,-6.426667,1.0
146.671768,-6.426667,1.0
158.958613,-6.48,1.0
172.274739,-6.533333,1.0
186.706371,-6.56,1.0
202.346955,-6.613333,1.0
219.297767,-6.666667,1.0
237.668566,-6.746667,1.0
257.578306,-6.8,1.0
279.155905,-6.88,1.0
302.541081,-6.96,1.0
327.885258,-7.013333,1.0
355.352543,-7.093333,1.0
385.12079,-7.146667,1.0
417.382754,-7.2,1.0
452.347335,-7.226667,1.0
490.240936,-7.253333,1.0
531.308922,-7.226667,1.0
575.817216,-7.173333,1.0
624.054015,-7.04,1.0
676.33166,-6.88,1.0
732.988657,-6.693333,1.0
794.391869,-6.426667,1.0
860.938891,-6.106667,1.0
933.060626,-5.706667,1.0
1011.224072,-5.253333,1.0
1095.93535,-4.88,1.0
1187.742979,-4.373333,1.0
1287.241427,-3.813333,1.0
1395.074963,-3.253333,1.0
1511.941824,-2.64,1.0
1638.598742,-2.0,1.0
1775.86584,-1.333333,1.0
1924.631944,-0.693333,1.0
2085.860337,-0.08,1.0
2260.594998,0.533333,1.0
2449.96736,1.146667,1.0
2655.20364,1.733333,1.0
2877.632774,2.293333,1.0
3118.695024,2.8,1.0
3379.951307,3.386667,1.0
3663.093296,3.76,1.0
3969.954381,4.32,1.0
4302.521533,4.72,1.0
4662.948177,5.093333,1.0
5053.568131,5.306667,1.0
5476.910719,5.6,1.0
5935.71715,5.973333,1.0
6432.958267,6.106667,1.0
6971.853783,6.32,1.0
7555.893128,6.506667,1.0
8188.85805,6.64,1.0
8874.847092,6.8,1.0
9618.30214,6.853333,1.0
10424.03718,6.933333,1.0
11297.269471,6.96,1.0
12243.653328,6.986667,1.0
13269.316732,6.986667,1.0
14380.901011,6.986667,1.0
15585.603846,6.88,1.0
16891.225874,6.853333,1.0
18306.221199,6.746667,1.0
19839.752134,5.733333,1.0
