frequency_hz,magnitude_db,weight
82.520884,-29.895288,1.0
86.039265,-28.638743,1.0
89.707657,-26.17801,1.0
93.532456,-23.664921,1.0
97.52033,-21.204188,1.0
101.678231,-18.743455,1.0
106.01341,-16.230366,1.0
110.533425,-13.926702,1.0
115.246156,-11.727749,1.0
120.159821,-9.581152,1.0
125.282985,-7.591623,1.0
130.624583,-5.811518,1.0
136.193926,-4.188482,1.0
142.000725,-2.774869,1.0
148.055104,-1.675393,1.0
154.367619,-0.732984,1.0
160.949276,-0.157068,1.0
167.81155,0.26178,1.0
174.966406,0.52356,1.0
182.426318,0.628272,1.0
190.204293,0.680628,1.0
198.313892,0.680628,1.0
206.769254,0.680628,1.0
215.58512,0.680628,1.0
224.776863,0.680628,1.0
234.360506,0.628272,1.0
244.35276,0.628272,1.0
254.771047,0.628272,1.0
265.63353,0.628272,1.0
276.959149,0.628272,1.0
288.76765,0.628272,1.0
301.079621,0.628272,1.0
313.916528,0.680628,1.0
327.300753,0.680628,1.0
341.255632,0.732984,1.0
355.805494,0.732984,1.0
370.975708,0.732984,1.0
386.792722,0.78534,1.0
403.284115,0.78534,1.0
420.47864,0.78534,1.0
438.406274,0.837696,1.0
457.098276,0.837696,1.0
476.587234,0.837696,1.0
496.907129,0.890052,1.0
518.093388,0.890052,1.0
540.18295,0.890052,1.0
563.214328,0.890052,1.0
587.227677,0.890052,1.0
612.264866,0.890052,1.0
638.369547,0.890052,1.0
665.587233,0.890052,1.0
693.96538,0.890052,1.0
723.553465,0.890052,1.0
754.403075,0.837696,1.0
786.567997,0.837696,1.0
820.10431,0.837696,1.0
855.070486,0.78534,1.0
891.52749,0.78534,1.0
929.538883,0.78534,1.0
969.170939,0.78534,1.0
1010.492758,0.732984,1.0
1053.576385,0.732984,1.0
1098.496936,0.732984,1.0
1145.332732,0.680628,1.0
1194.16543,0.680628,1.0
1245.080171,0.680628,1.0
1298.165727,0.628272,1.0
1353.514651,0.628272,1.0
1411.223447,0.628272,1.0
1471.392729,0.575916,1.0
1534.127405,0.575916,1.0
1599.536852,0.575916,1.0
1667.735112,0.52356,1.0
1738.841091,0.52356,1.0
1812.978763,0.52356,1.0
1890.277388,0.471204,1.0
1970.871736,0.471204,1.0
2054.902325,0.471204,1.0
2142.515665,0.418848,1.0
2233.864508,0.418848,1.0
2329.108125,0.418848,1.0
2428.412572,0.366492,1.0
2531.950989,0.366492,1.0
2639.903897,0.366492,1.0
2752.459512,0.314136,1.0
2869.814077,0.314136,1.0
2992.172201,0.26178,1.0
3119.747217,0.26178,1.0
3252.761555,0.209424,1.0
3391.447125,0.157068,1.0
3536.045729,0.157068,1.0
3686.809475,0.104712,1.0
3844.001223,0.052356,1.0
4007.895039,0.0,1.0
4178.776673,-0.052356,1.0
4356.94406,-0.104712,1.0
4542.707837,-0.157068,1.0
4736.391886,-0.209424,1.0
4938.333897,-0.314136,1.0
5148.885959,-0.366492,1.0
5368.415173,-0.418848,1.0
5597.30429,-0.52356,1.0
5835.952382,-0.628272,1.0
6084.775534,-0.628272,1.0
6344.207574,-0.837696,1.0
6614.700825,-0.994764,1.0
6896.726894,-1.099476,1.0
7190.777499,-1.204188,1.0
7497.365321,-1.308901,1.0
7817.024899,-1.413613,1.0
8150.313564,-1.518325,1.0
8497.81241,-1.675393,1.0
8860.127305,-1.989529,1.0
9237.88995,-4.502618,1.0
9631.75898,-21.570681,1.0
