frequency_hz,magnitude_db,weight
5.0,-9.333333,1.0
5.418855,-8.48,1.0
5.872798,-7.653333,1.0
6.364769,-6.826667,1.0
6.897952,-6.0,1.0
7.4758,-5.173333,1.0
8.102056,-4.32,1.0
8.780773,-3.6,1.0
9.516348,-2.88,1.0
10.313542,-2.186667,1.0
11.177518,-1.493333,1.0
12.11387,-0.933333,1.0
13.128661,-0.346667,1.0
14.228463,0.186667,1.0
15.420395,0.64,1.0
16.712178,1.066667,1.0
18.112174,1.386667,1.0
19.62945,1.706667,1.0
21.273829,1.813333,1.0
23.055959,2.0,1.0
24.98738,2.426667,1.0
27.080599,2.32,1.0
29.349169,2.453333,1.0
31.807779,2.586667,1.0
34.472349,2.693333,1.0
37.360133,2.773333,1.0
40.489829,2.826667,1.0
43.881704,2.8,1.0
47.557719,2.72,1.0
51.541678,2.72,1.0
55.859378,2.426667,1.0
60.538775,2.24,1.0
65.61017,2.026667,1.0
71.106402,1.786667,1.0
77.063058,1.493333,1.0
83.518709,1.36,1.0
90.515157,0.826667,1.0
98.097705,0.56,1.0
106.31545,0.08,1.0
115.221605,-0.346667,1.0
124.873837,-0.773333,1.0
135.334646,-1.226667,1.0
146.671768,-1.653333,1.0
158.958613,-2.106667,1.0
172.274739,-2.533333,1.0
186.706371,-2.96,1.0
202.346955,-3.333333,1.0
219.297767,-3.68,1.0
237.668566,-4.0,1.0
257.578306,-4.266667,1.0
279.155905,-4.506667,1.0
302.541081,-4.693333,1.0
327.885258,-4.826667,1.0
355.352543,-4.933333,1.0
385.12079,-4.96,1.0
417.382754,-4.986667,1.0
452.347335,-4.96,1.0
490.240936,-4.906667,1.0
531.308922,-4.853333,1.0
575.817216,-4.773333,1.0
624.054015,-4.693333,1.0
676.33166,-4.613333,1.0
732.988657,-4.533333,1.0
794.391869,-4.453333,1.0
860.938891,-4.373333,1.0
933.060626,-4.32,1.0
1011.224072,-4.266667,1.0
1095.93535,-4.213333,1.0
1187.742979,-4.186667,1.0
1287.241427,-4.16,1.0
1395.074963,-4.16,1.0
1511.941824,-4.133333,1.0
1638.598742,-4.133333,1.0
1775.86584,-4.133333,1.0
1924.631944,-4.133333,1.0
2085.860337,-4.133333,1.0
2260.594998,-4.133333,1.0
2449.96736,-4.16,1.0
2655.20364,-4.16,1.0
2877.632774,-4.16,1.0
3118.695024,-4.16,1.0
3379.951307,-4.186667,1.0
3663.093296,-4.186667,1.0
3969.954381,-4.213333,1.0
4302.521533,-4.213333,1.0
4662.948177,-4.24,1.0
5053.568131,-4.24,1.0
5476.910719,-4.266667,1.0
5935.71715,-4.293333,1.0
6432.958267,-4.32,1.0
6971.853783,-4.346667,1.0
7555.893128,-4.373333,1.0
8188.85805,-4.4,1.0
8874.847092,-4.453333,1.0
9618.30214,-4.506667,1.0
10424.03718,-4.56,1.0
11297.269471,-4.64,1.0
12243.653328,-4.72,1.0
13269.316732,-4.826667,1.0
14380.901011,-5.013333,1.0
15585.603846,-5.093333,1.0
16891.225874,-5.146667,1.0
18306.221199,-5.253333,1.0
19839.752134,-5.413333,1.0
