frequency_hz,magnitude_db,weight
7.4758,-9.973333,1.0
8.102056,-9.493333,1.0
8.780773,-9.92,1.0
9.516348,-9.52,1.0
10.313542,-9.093333,1.0
11.177518,-8.746667,1.0
12.11387,-8.426667,1.0
13.128661,-8.106667,1.0
14.228463,-7.84,1.0
15.420395,-7.6,1.0
16.712178,-7.333333,1.0
18.112174,-7.173333,1.0
19.62945,-7.013333,1.0
21.273829,-6.88,1.0
23.055959,-6.746667,1.0
24.98738,-6.613333,1.0
27.080599,-6.506667,1.0
29.349169,-6.426667,1.0
31.807779,-6.32,1.0
34.472349,-6.24,1.0
37.360133,-6.16,1.0
40.489829,-6.106667,1.0
43.881704,-6.053333,1.0
47.557719,-5.973333,1.0
51.541678,-5.92,1.0
55.859378,-5.84,1.0
60.538775,-5.813333,1.0
65.61017,-5.76,1.0
71.106402,-5.706667,1.0
77.063058,-5.626667,1.0
83.518709,-5.573333,1.0
90.515157,-5.52,1.0
98.097705,-5.44,1.0
106.31545,-5.36,1.0
115.221605,-5.253333,1.0
124.873837,-5.066667,1.0
135.334646,-5.04,1.0
146.671768,-4.773333,1.0
158.958613,-4.746667,1.0
172.274739,-4.586667,1.0
186.706371,-4.373333,1.0
202.346955,-4.16,1.0
219.297767,-3.92,1.0
237.668566,-3.626667,1.0
257.578306,-3.066667,1.0
279.155905,-2.986667,1.0
302.541081,-2.32,1.0
327.885258,-2.186667,1.0
355.352543,-1.733333,1.0
385.12079,-1.253333,1.0
417.382754,-0.453333,1.0
452.347335,-0.186667,1.0
490.240936,0.666667,1.0
531.308922,1.013333,1.0
575.817216,1.653333,1.0
624.054015,2.32,1.0
676.33166,3.013333,1.0
732.988657,3.733333,1.0
794.391869,4.453333,1.0
860.938891,5.306667,1.0
933.060626,5.92,1.0
1011.224072,6.64,1.0
1095.93535,7.306667,1.0
1187.742979,7.946667,1.0
1287.241427,8.426667,1.0
1395.074963,8.853333,1.0
1511.941824,9.013333,1.0
1638.598742,9.013333,1.0
1775.86584,8.826667,1.0
1924.631944,8.453333,1.0
2085.860337,7.92,1.0
2260.594998,7.28,1.0
2449.96736,6.56,1.0
2655.20364,5.813333,1.0
2877.632774,5.04,1.0
3118.695024,4.266667,1.0
3379.951307,3.493333,1.0
3663.093296,2.746667,1.0
3969.954381,2.0,1.0
4302.521533,1.253333,1.0
4662.948177,0.533333,1.0
5053.568131,-0.16,1.0
5476.910719,-0.853333,1.0
5935.71715,-1.573333,1.0
6432.958267,-2.24,1.0
6971.853783,-2.906667,1.0
7555.893128,-3.546667,1.0
8188.85805,-4.16,1.0
8874.847092,-4.72,1.0
9618.30214,-5.226667,1.0
10424.03718,-5.706667,1.0
11297.269471,-6.08,1.0
12243.653328,-6.4,1.0
13269.316732,-5.68,1.0
14380.901011,-5.973333,1.0
15585.603846,-6.213333,1.0
16891.225874,-6.426667,1.0
18306.221199,-6.64,1.0
19839.752134,-7.2,1.0
