frequency_hz,magnitude_db,weight
5.872798,-9.493333,1.0
6.364769,-8.96,1.0
6.897952,-8.506667,1.0
7.4758,-8.72,1.0
8.102056,-7.493333,1.0
8.780773,-7.093333,1.0
9.516348,-6.693333,1.0
10.313542,-6.853333,1.0
11.177518,-5.92,1.0
12.11387,-6.266667,1.0
13.128661,-5.28,1.0
14.228463,-5.68,1.0
15.420395,-4.773333,1.0
16.712178,-4.56,1.0
18.112174,-5.013333,1.0
19.62945,-4.826667,1.0
21.273829,-4.64,1.0
23.055959,-4.48,1.0
24.98738,-3.786667,1.0
27.080599,-3.68,1.0
29.349169,-4.026667,1.0
31.807779,-3.92,1.0
34.472349,-3.786667,1.0
37.360133,-3.386667,1.0
40.489829,-3.573333,1.0
43.881704,-3.28,1.0
47.557719,-3.253333,1.0
51.541678,-3.333333,1.0
55.859378,-3.253333,1.0
60.538775,-3.2,1.0
65.61017,-3.146667,1.0
71.106402,-3.12,1.0
77.063058,-3.093333,1.0
83.518709,-3.093333,1.0
90.515157,-3.093333,1.0
98.097705,-3.066667,1.0
106.31545,-3.04,1.0
115.221605,-3.04,1.0
124.873837,-3.013333,1.0
135.334646,-2.986667,1.0
146.671768,-2.986667,1.0
158.958613,-2.986667,1.0
172.274739,-2.96,1.0
186.706371,-2.96,1.0
202.346955,-2.933333,1.0
219.297767,-2.933333,1.0
237.668566,-2.906667,1.0
257.578306,-2.88,1.0
279.155905,-2.88,1.0
302.541081,-2.853333,1.0
327.885258,-2.826667,1.0
355.352543,-2.8,1.0
385.12079,-2.8,1.0
417.382754,-2.773333,1.0
452.347335,-2.746667,1.0
490.240936,-2.72,1.0
531.308922,-2.693333,1.0
575.817216,-2.666667,1.0
624.054015,-2.666667,1.0
676.33166,-2.64,1.0
732.988657,-2.64,1.0
794.391869,-2.64,1.0
860.938891,-2.64,1.0
933.060626,-2.64,1.0
1011.224072,-2.64,1.0
1095.93535,-2.666667,1.0
1187.742979,-2.693333,1.0
1287.241427,-2.693333,1.0
1395.074963,-2.72,1.0
1511.941824,-2.746667,1.0
1638.598742,-2.773333,1.0
1775.86584,-2.8,1.0
1924.631944,-2.826667,1.0
2085.860337,-2.853333,1.0
2260.594998,-2.88,1.0
2449.96736,-2.906667,1.0
2655.20364,-2.933333,1.0
2877.632774,-2.96,1.0
3118.695024,-2.986667,1.0
3379.951307,-3.013333,1.0
3663.093296,-3.013333,1.0
3969.954381,-3.04,1.0
4302.521533,-3.066667,1.0
4662.948177,-3.066667,1.0
5053.568131,-3.093333,1.0
5476.910719,-3.12,1.0
5935.71715,-3.146667,1.0
6432.958267,-3.173333,1.0
6971.853783,-3.2,1.0
7555.893128,-3.226667,1.0
8188.85805,-3.28,1.0
8874.847092,-3.333333,1.0
9618.30214,-3.386667,1.0
10424.03718,-3.44,1.0
11297.269471,-3.52,1.0
12243.653328,-3.573333,1.0
13269.316732,-3.6,1.0
14380.901011,-3.706667,1.0
15585.603846,-3.92,1.0
16891.225874,-4.053333,1.0
18306.221199,-4.186667,1.0
19839.752134,-5.6,1.0
