frequency_hz,magnitude_db,weight
5.872798,-9.893333,1.0
6.364769,-9.36,1.0
6.897952,-9.36,1.0
7.4758,-8.853333,1.0
8.102056,-8.373333,1.0
8.780773,-7.946667,1.0
9.516348,-7.52,1.0
10.313542,-7.12,1.0
11.177518,-6.773333,1.0
12.11387,-6.426667,1.0
13.128661,-6.08,1.0
14.228463,-5.813333,1.0
15.420395,-5.546667,1.0
16.712178,-5.306667,1.0
18.112174,-5.066667,1.0
19.62945,-4.88,1.0
21.273829,-4.693333,1.0
23.055959,-4.533333,1.0
24.98738,-4.373333,1.0
27.080599,-4.213333,1.0
29.349169,-4.106667,1.0
31.807779,-4.0,1.0
34.472349,-3.92,1.0
37.360133,-3.84,1.0
40.489829,-3.733333,1.0
43.881704,-3.653333,1.0
47.557719,-3.653333,1.0
51.541678,-3.6,1.0
55.859378,-3.546667,1.0
60.538775,-3.413333,1.0
65.61017,-3.466667,1.0
71.106402,-3.333333,1.0
77.063058,-3.386667,1.0
83.518709,-3.28,1.0
90.515157,-3.333333,1.0
98.097705,-3.306667,1.0
106.31545,-3.28,1.0
115.221605,-3.253333,1.0
124.873837,-3.253333,1.0
135.334646,-3.253333,1.0
146.671768,-3.253333,1.0
158.958613,-3.28,1.0
172.274739,-3.28,1.0
186.706371,-3.306667,1.0
202.346955,-3.36,1.0
219.297767,-3.413333,1.0
237.668566,-3.466667,1.0
257.578306,-3.52,1.0
279.155905,-3.573333,1.0
302.541081,-3.626667,1.0
327.885258,-3.68,1.0
355.352543,-3.733333,1.0
385.12079,-3.786667,1.0
417.382754,-3.84,1.0
452.347335,-3.893333,1.0
490.240936,-3.92,1.0
531.308922,-3.973333,1.0
575.817216,-3.973333,1.0
624.054015,-4.0,1.0
676.33166,-4.026667,1.0
732.988657,-4.026667,1.0
794.391869,-3.973333,1.0
860.938891,-4.0,1.0
933.060626,-4.0,1.0
1011.224072,-3.946667,1.0
1095.93535,-3.973333,1.0
1187.742979,-3.973333,1.0
1287.241427,-3.973333,1.0
1395.074963,-3.946667,1.0
1511.941824,-3.946667,1.0
1638.598742,-3.946667,1.0
1775.86584,-3.946667,1.0
1924.631944,-3.946667,1.0
2085.860337,-3.946667,1.0
2260.594998,-3.973333,1.0
2449.96736,-3.973333,1.0
2655.20364,-3.973333,1.0
2877.632774,-3.973333,1.0
3118.695024,-3.973333,1.0
3379.951307,-4.0,1.0
3663.093296,-4.0,1.0
3969.954381,-4.026667,1.0
4302.521533,-4.026667,1.0
4662.948177,-4.026667,1.0
5053.568131,-4.053333,1.0
5476.910719,-4.08,1.0
5935.71715,-4.106667,1.0
6432.958267,-4.133333,1.0
6971.853783,-4.16,1.0
7555.893128,-4.186667,1.0
8188.85805,-4.213333,1.0
8874.847092,-4.266667,1.0
9618.30214,-4.32,1.0
10424.03718,-4.4,1.0
11297.269471,-4.48,1.0
12243.653328,-4.56,1.0
13269.316732,-4.72,1.0
14380.901011,-4.906667,1.0
15585.603846,-4.906667,1.0
16891.225874,-4.8,1.0
18306.221199,-4.906667,1.0
19839.752134,-6.08,1.0
