frequency_hz,magnitude_db,weight
8.102056,-9.68,1.0
8.780773,-9.333333,1.0
9.516348,-9.6,1.0
10.313542,-9.2,1.0
11.177518,-8.826667,1.0
12.11387,-8.506667,1.0
13.128661,-8.186667,1.0
14.228463,-7.92,1.0
15.420395,-7.653333,1.0
16.712178,-7.413333,1.0
18.112174,-7.226667,1.0
19.62945,-7.04,1.0
21.273829,-6.88,1.0
23.055959,-6.746667,1.0
24.98738,-6.64,1.0
27.080599,-6.506667,1.0
29.349169,-6.4,1.0
31.807779,-6.293333,1.0
34.472349,-6.213333,1.0
37.360133,-6.133333,1.0
40.489829,-6.053333,1.0
43.881704,-5.973333,1.0
47.557719,-5.893333,1.0
51.541678,-5.84,1.0
55.859378,-5.76,1.0
60.538775,-5.706667,1.0
65.61017,-5.653333,1.0
71.106402,-5.573333,1.0
77.063058,-5.52,1.0
83.518709,-5.466667,1.0
90.515157,-5.413333,1.0
98.097705,-5.36,1.0
106.31545,-5.306667,1.0
115.221605,-5.253333,1.0
124.873837,-5.2,1.0
135.334646,-5.146667,1.0
146.671768,-5.093333,1.0
158.958613,-5.04,1.0
172.274739,-5.013333,1.0
186.706371,-4.96,1.0
202.346955,-4.933333,1.0
219.297767,-4.88,1.0
237.668566,-4.853333,1.0
257.578306,-4.826667,1.0
279.155905,-4.773333,1.0
302.541081,-4.746667,1.0
327.885258,-4.72,1.0
355.352543,-4.693333,1.0
385.12079,-4.666667,1.0
417.382754,-4.64,1.0
452.347335,-4.64,1.0
490.240936,-4.613333,1.0
531.308922,-4.613333,1.0
575.817216,-4.586667,1.0
624.054015,-4.586667,1.0
676.33166,-4.613333,1.0
732.988657,-4.613333,1.0
794.391869,-4.64,1.0
860.938891,-4.666667,1.0
933.060626,-4.693333,1.0
1011.224072,-4.72,1.0
1095.93535,-4.773333,1.0
1187.742979,-4.853333,1.0
1287.241427,-4.906667,1.0
1395.074963,-4.96,1.0
1511.941824,-5.013333,1.0
1638.598742,-5.093333,1.0
1775.86584,-5.173333,1.0
1924.631944,-5.226667,1.0
2085.860337,-5.306667,1.0
2260.594998,-5.36,1.0
2449.96736,-5.413333,1.0
2655.20364,-5.493333,1.0
2877.632774,-5.546667,1.0
3118.695024,-5.573333,1.0
3379.951307,-5.626667,1.0
3663.093296,-5.68,1.0
3969.954381,-5.706667,1.0
4302.521533,-5.733333,1.0
4662.948177,-5.786667,1.0
5053.568131,-5.813333,1.0
5476.910719,-5.84,1.0
5935.71715,-5.866667,1.0
6432.958267,-5.813333,1.0
6971.853783,-5.946667,1.0
7555.893128,-5.973333,1.0
8188.85805,-6.026667,1.0
8874.847092,-6.053333,1.0
9618.30214,-6.106667,1.0
10424.03718,-6.16,1.0
11297.269471,-6.24,1.0
12243.653328,-6.32,1.0
13269.316732,-6.426667,1.0
14380.901011,-6.506667,1.0
15585.603846,-6.586667,1.0
16891.225874,-6.8,1.0
18306.221199,-6.933333,1.0
19839.752134,-7.28,1.0
